Unnamed: 0_nan_nan_nan_nan,Mmus_C3H-HeJ_KDN_BSL_0days,Mmus_C3H-HeJ_KDN_FLT_25days,Mmus_C3H-HeJ_KDN_FLT_75days,Mmus_C3H-HeJ_KDN_GC_25days,Mmus_C3H-HeJ_KDN_GC_75days,Mmus_C3H-HeJ_KDN_VIV_25days,Mmus_C3H-HeJ_KDN_VIV_75days,Mmus_C57-6J_KDN_BSL_0days,Mmus_C57-6J_KDN_FLT_25days,Mmus_C57-6J_KDN_FLT_75days,Mmus_C57-6J_KDN_GC_25days,Mmus_C57-6J_KDN_GC_75days,Mmus_C57-6J_KDN_VIV_25days,Mmus_C57-6J_KDN_VIV_75days
ENSMUSG00000000532,2266.97696175285,2438.2662385990398,2358.0394655871837,2346.342018053282,1902.9048348110741,2221.328164089776,2225.880551783972,2217.376849807152,2146.9639465173977,2180.450062001532,2640.107149343612,2064.22239487175,2020.29175398457,2099.551516347716
ENSMUSG00000000538,5091.415505677709,5221.478079378998,5066.576852557354,3906.2071356420215,3717.887346676286,4771.727394304382,4681.655729244406,5411.703398690835,4861.273532319836,5184.353084211748,5966.023326333942,4973.453488542147,4897.803874239012,4929.238202996606
ENSMUSG00000000555,259.00442830222386,330.3653240166912,310.4028273178818,234.5324738651655,171.06026319796408,296.2130731963966,232.75797023336153,238.03658132526158,229.77016431379042,317.17213400004937,269.2475680637699,227.54144657124795,260.7370987200919,236.44068473823341
ENSMUSG00000000561,1457.3034686549634,1380.881767135978,1286.439246292844,1412.6505046729822,1472.927383665138,1352.616674535358,1389.585936962836,1454.6722124569756,1386.638984106426,1241.688507282028,1349.37563228164,1279.910818264305,1379.072400284874,1444.02324297322
ENSMUSG00000000563,36484.583799998,30037.70549693844,33293.914607042694,43839.40960185182,47841.02672215171,32493.440330672882,37696.07342688348,31201.13795633129,35205.87927481302,24966.72225031508,28666.514943454782,32656.680188669576,28518.12550810644,32468.79663197212
ENSMUSG00000000567,12.722978841008873,18.290521916570718,19.07319972536605,15.628975975093459,16.76426977081308,19.21467886811502,20.2252908308136,38.247236294763994,39.210347535528676,72.044107724902,42.41406944046696,47.55231093563505,43.95017466955924,43.43616380988246
ENSMUSG00000000568,1448.3165900823842,1895.1966331898518,1918.235793871982,1902.1265931910589,1840.5798407707946,1502.5797436663777,1531.4465972400608,1524.2618363007364,1898.6721230902542,2225.360899110826,1393.7702521352323,1602.3417288589017,1431.3875518676111,1761.1751459728407
ENSMUSG00000000579,206.167889498438,147.5392695252686,151.1368080705667,198.387773898136,181.51048798043524,184.96179520546679,166.98443452884402,103.8129103909606,98.8282704302661,98.03847144999722,106.63299906893617,98.1605480332119,99.50972710297862,136.59953250211316
ENSMUSG00000000581,2183.3433406459244,1915.034045577496,1900.992156341008,2011.8880442092382,2266.6982544535217,2004.7271068351001,2078.152117121032,2511.8636903497277,2326.662983051388,1863.553659131338,2245.322886202374,2260.7574857477375,2372.751315418428,2339.623608806706
ENSMUSG00000000594,17318.975453065123,15449.626540128578,17321.544033335238,15454.45732379872,15934.263509240142,16808.98848944914,19776.6646963582,15688.732515698312,13971.583723009713,16568.14839479472,15574.610407046164,14566.8541601309,16326.5287868218,16172.892375648818
ENSMUSG00000000600,2238.780758541119,2053.920970172792,2175.385483366626,2624.663255650186,2842.877978996946,2365.934755731084,2514.015920454574,2068.7928441462886,2435.722001781684,2193.68039061541,2023.668392972826,2290.445441578305,2268.863087259404,2577.056036322448
ENSMUSG00000000605,6012.272259531523,5695.29782881408,6063.303422237748,7089.12996223606,6997.934631677065,6162.766974498082,6921.846088225333,6012.834947955893,6096.93728774797,6174.224420218892,6275.175700119478,6011.504411722355,5968.3475981231195,6779.430979519348
ENSMUSG00000000628,70.36358536985185,62.26249190481258,99.00291893704856,197.98351644728538,40.197419843008284,129.15838771367987,105.86339047317934,93.36863700918354,441.01959875712464,244.86247851757267,98.98628197290273,67.51427805626174,120.38254876083218,72.43428401859425
